id,season,yr,mnth,hr,holiday,workingday,weathersit,temp,hum,windspeed,dayOfWeek,days,demand
1,3,1,6,12,0,1,2,0.76,0.45,0.2985,Mon,536,270
2,1,1,2,23,0,0,1,0.26,0.56,0.1642,Sun,416,64
3,1,0,2,14,0,0,1,0.44,0.47,0.0896,Sun,54,282
4,1,1,1,21,0,0,2,0.44,0.67,0.2537,Sun,361,71
5,1,1,1,20,0,0,1,0.4,0.35,0.3881,Sat,387,120
6,1,1,2,23,0,1,1,0.38,0.37,0.6866,Fri,414,86
7,1,1,12,5,0,0,1,0.26,0.48,0.4179,Sat,714,5
8,2,0,5,19,0,1,2,0.6,0.64,0.194,Thr,127,364
9,1,0,1,9,0,1,2,0.24,0.93,0.1045,Wed,17,109
10,3,1,9,5,0,1,1,0.5,0.72,0.0896,Wed,615,48
11,4,0,11,6,0,1,1,0.26,0.81,0.1045,Fri,323,13
12,1,0,2,13,0,0,1,0.3,0.39,0.4179,Sat,39,135
13,1,1,12,17,0,0,1,0.28,0.41,0.2985,Sat,714,114
14,3,0,7,23,0,0,1,0.74,0.66,0.2239,Sun,208,70
15,1,0,1,6,0,1,2,0.2,0.69,0,Fri,5,34
16,2,0,6,10,0,1,1,0.62,0.33,0.2537,Fri,149,161
17,3,0,7,20,0,1,1,0.72,0.74,0.1343,Mon,201,302
18,4,1,11,19,0,1,1,0.38,0.43,0.194,Wed,684,243
19,1,0,1,15,1,0,2,0.2,0.47,0.1642,Mon,16,93
20,4,0,12,6,0,1,1,0.3,0.93,0.0896,Mon,333,90
21,2,0,4,2,0,1,3,0.26,0.93,0.194,Fri,86,7
22,4,1,9,11,0,1,2,0.72,0.51,0.1642,Thr,630,294
23,2,1,6,13,0,1,1,0.62,0.41,0.0896,Wed,517,303
24,3,0,8,8,0,1,1,0.64,0.78,0.3284,Mon,222,355
25,4,1,10,12,0,0,1,0.56,0.46,0.1045,Sat,653,703
26,4,1,11,2,0,1,1,0.26,0.75,0.0896,Fri,685,5
27,1,1,2,15,0,1,1,0.52,0.25,0.4179,Mon,417,174
28,3,1,7,12,0,0,1,0.92,0.42,0.194,Sun,549,376
29,3,0,7,17,0,1,1,0.86,0.36,0.2537,Thr,183,569
30,3,1,8,23,0,1,1,0.7,0.74,0,Wed,573,152
31,3,0,7,12,0,0,1,0.82,0.3,0.1343,Sat,178,374
32,3,1,8,20,0,1,1,0.74,0.58,0.1642,Thr,602,471
33,2,0,4,12,1,0,1,0.52,0.55,0.2836,Fri,100,200
34,3,0,9,12,0,1,2,0.66,0.94,0.2239,Thr,245,102
35,1,0,1,5,1,0,2,0.18,0.43,0.1642,Mon,15,1
36,3,0,7,7,0,0,1,0.64,0.65,0,Sat,178,45
37,1,0,1,23,0,1,2,0.2,0.59,0.194,Thr,5,23
38,1,0,2,18,0,0,1,0.28,0.38,0.3284,Sat,40,64
39,2,0,5,21,0,1,1,0.4,0.62,0.1642,Wed,119,150
40,1,1,1,2,0,1,1,0.24,0.56,0.1343,Mon,368,5
41,3,0,9,0,0,0,1,0.46,0.72,0.1642,Sat,254,108
42,3,1,9,7,0,1,1,0.52,0.72,0,Wed,615,557
43,4,1,10,20,0,0,1,0.48,0.44,0.194,Sun,654,195
44,3,1,8,5,0,1,1,0.64,0.73,0.1045,Fri,589,36
