id,prediction
13904,144.0
13905,6.0
13906,294.0
13907,579.0
13908,88.0
13909,670.0
13910,158.0
13911,171.0
13912,206.0
13913,282.0
13914,416.0
13915,244.0
13916,239.0
13917,191.0
13918,216.0
13919,476.0
13920,259.0
13921,122.0
13922,176.0
13923,7.0
13924,318.0
13925,56.0
13926,429.0
13927,126.0
13928,377.0
13929,13.0
13930,373.0
13931,658.0
13932,7.0
13933,38.0
13934,161.0
13935,6.0
13936,92.0
13937,189.0
13938,13.0
13939,163.0
13940,426.0
13941,100.0
13942,95.0
13943,181.0
13944,357.0
13945,418.0
13946,136.0
13947,303.0
13948,401.0
13949,318.0
13950,165.0
13951,343.0
13952,127.0
13953,6.0
13954,124.0
13955,362.0
13956,145.0
13957,444.0
13958,237.0
13959,5.0
13960,472.0
13961,112.0
13962,230.0
13963,168.0
13964,341.0
13965,25.0
13966,553.0
13967,5.0
13968,143.0
13969,246.0
13970,235.0
13971,437.0
13972,348.0
13973,36.0
13974,208.0
13975,6.0
13976,11.0
13977,8.0
13978,425.0
13979,351.0
13980,76.0
13981,76.0
13982,106.0
13983,271.0
13984,25.0
13985,333.0
13986,158.0
13987,247.0
13988,141.0
13989,3.0
13990,317.0
13991,123.0
13992,112.0
13993,148.0
13994,258.0
13995,361.0
13996,406.0
13997,5.0
13998,566.0
13999,191.0
14000,262.0
14001,137.0
14002,295.0
14003,43.0
14004,24.0
14005,196.0
14006,116.0
14007,715.0
14008,465.0
14009,97.0
14010,40.0
14011,249.0
14012,21.0
14013,218.0
14014,241.0
14015,213.0
14016,18.0
14017,504.0
14018,343.0
14019,385.0
14020,566.0
14021,238.0
14022,237.0
14023,344.0
14024,155.0
14025,19.0
14026,46.0
14027,6.0
14028,338.0
14029,20.0
14030,176.0
14031,715.0
14032,22.0
14033,238.0
14034,199.0
14035,43.0
14036,87.0
14037,100.0
14038,552.0
14039,259.0
14040,362.0
14041,249.0
14042,26.0
14043,78.0
14044,198.0
14045,42.0
14046,187.0
14047,95.0
14048,7.0
14049,65.0
14050,201.0
14051,92.0
14052,23.0
14053,286.0
14054,77.0
14055,486.0
14056,203.0
14057,557.0
14058,78.0
14059,401.0
14060,10.0
14061,482.0
14062,177.0
14063,376.0
14064,144.0
14065,208.0
14066,443.0
14067,90.0
14068,4.0
14069,99.0
14070,35.0
14071,224.0
14072,11.0
14073,756.0
14074,178.0
14075,181.0
14076,349.0
14077,245.0
14078,6.0
14079,250.0
14080,4.0
14081,303.0
14082,178.0
14083,15.0
14084,91.0
14085,8.0
14086,29.0
14087,302.0
14088,128.0
14089,11.0
14090,509.0
14091,11.0
14092,20.0
14093,231.0
14094,265.0
14095,147.0
14096,108.0
14097,31.0
14098,537.0
14099,155.0
14100,92.0
14101,395.0
14102,125.0
14103,197.0
14104,343.0
14105,133.0
